T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
7.4,9.8,4.8,1017.6,93.0,0.5,4.3,9.4,219.72083333333333
7.8,12.7,4.4,1018.5,87.0,0.6,4.4,11.1,182.1875
7.6,15.7,2.7,1017.4,80.0,0.6,0.9,7.6,115.28749999999998
6.6,12.6,1.9,1018.5,87.0,0.6,2.8,11.1,12.379166666666668
6.7,13.4,2.4,1019.4,82.0,0.6,4.8,11.1,154.03750000000005
8.6,15.5,3.3,1018.7,72.0,0.8,8.1,20.6,223.20833333333331
12.4,20.9,4.4,1017.3,61.0,1.3,8.7,22.2,200.64583333333337
13.8,21.1,6.8,1015.5,58.0,1.6,12.0,25.9,154.875
14.9,22.7,7.7,1016.1,59.0,1.6,9.3,25.9,129.38749999999996
15.0,25.2,7.7,1015.9,73.0,1.1,3.7,70.2,224.2458333333333
16.0,25.2,10.0,1013.2,79.0,0.6,4.8,11.1,285.225
13.4,21.0,9.2,1015.1,87.0,0.5,1.5,7.6,236.825
14.3,22.6,6.6,1016.3,76.0,0.8,0.4,3.5,276.90833333333336
16.3,24.1,12.5,1015.7,84.0,0.8,5.4,14.8,218.6708333333333
13.5,16.4,11.3,1015.3,94.0,1.6,7.6,18.3,47.82500000000001
12.7,18.9,7.3,1021.2,76.0,1.8,6.1,16.5,108.0
11.9,18.9,6.3,1020.1,76.0,1.1,8.3,20.6,107.625
12.2,19.9,6.2,1021.0,69.0,2.1,4.4,18.3,125.89166666666668
11.9,20.4,4.8,1021.2,68.0,1.6,4.4,11.1,179.3083333333333
12.1,20.4,4.4,1020.9,70.0,1.3,3.0,11.1,239.85
12.4,20.5,5.6,1020.5,71.0,1.3,4.6,11.1,220.1916666666667
13.4,21.1,5.6,1020.0,60.0,1.9,8.0,22.2,181.01250000000005
12.3,21.4,6.4,1019.6,70.0,1.9,6.7,14.8,152.55416666666667
13.7,22.0,7.0,1018.2,63.0,1.8,7.2,18.3,152.32083333333338
13.3,22.3,6.7,1018.0,65.0,1.4,2.8,11.1,171.42916666666662
14.0,23.3,6.7,1016.8,68.0,1.3,3.1,18.3,251.375
14.7,24.4,6.2,1018.0,72.0,1.0,0.9,3.5,251.82916666666668
14.9,21.9,7.1,1018.3,73.0,0.6,2.0,7.6,319.7375
15.0,24.0,7.6,1017.4,81.0,0.6,2.2,7.6,332.7083333333333
16.3,24.0,12.0,1017.2,80.0,0.8,1.3,9.4,279.6
18.7,26.3,9.5,1015.3,64.0,1.6,1.7,7.6,179.11666666666667
17.5,19.3,15.0,1014.5,79.0,1.6,10.4,18.3,166.29999999999995
16.7,19.3,13.5,1016.3,94.0,1.1,9.6,22.2,78.25416666666666
16.3,21.6,12.4,1018.6,79.0,2.1,8.3,22.2,54.0
14.6,21.6,9.4,1018.4,72.0,2.7,9.4,18.3,54.0
14.7,21.7,8.4,1017.1,71.0,1.8,10.9,22.2,93.0
14.8,22.6,8.5,1016.8,67.0,2.1,9.3,18.3,103.0
15.2,23.7,7.1,1017.1,73.0,1.1,3.5,11.1,211.0
15.7,23.8,8.5,1016.4,71.0,1.6,5.4,14.8,192.0
15.9,23.8,9.5,1017.3,71.0,1.6,7.6,11.1,152.0
17.4,25.4,10.3,1015.8,63.0,1.9,6.7,14.8,132.0
18.1,26.7,10.2,1013.8,61.0,2.6,5.0,11.1,127.0
18.3,23.2,12.7,1011.2,75.0,1.9,10.0,22.2,109.33333333333331
16.4,22.0,11.2,1015.5,81.0,1.6,5.9,18.3,56.45833333333334
16.9,23.5,10.1,1016.8,80.0,1.3,5.2,22.2,135.0
19.3,26.9,12.1,1015.6,74.0,1.6,5.9,11.1,122.0
20.4,27.1,15.0,1016.1,71.0,1.4,10.9,18.3,119.0
17.2,22.6,12.8,1017.0,81.0,1.6,8.1,20.6,67.0
17.0,23.3,10.7,1019.1,80.0,2.6,7.8,18.3,46.0
17.2,24.2,10.8,1018.3,74.0,2.6,4.6,14.8,69.0
17.7,26.5,9.8,1015.3,73.0,1.4,4.8,14.8,79.0
20.4,28.4,15.2,1014.7,62.0,2.4,5.0,14.8,62.70833333333334
19.4,28.4,12.8,1017.3,57.0,2.3,13.1,18.3,81.0
18.2,26.1,12.2,1016.3,54.0,1.9,24.4,33.5,21.20833333333333
19.0,26.8,11.7,1016.3,58.0,2.6,16.7,29.4,1.9166666666666667
18.7,27.8,13.3,1016.2,69.0,2.4,7.4,25.9,1.8333333333333333
20.2,30.1,11.9,1015.7,58.0,1.9,6.7,14.8,1.7916666666666667
21.0,30.7,11.7,1016.5,62.0,1.6,4.3,11.1,31.625
21.6,30.7,13.6,1016.1,62.0,1.9,7.8,22.2,112.0
22.6,30.6,15.7,1015.4,62.0,2.6,8.1,20.6,105.0
22.5,31.8,13.7,1014.6,57.0,2.3,5.9,14.8,117.0
24.0,33.8,13.6,1009.7,53.0,1.9,4.6,18.3,122.0
23.1,33.8,17.3,1008.2,61.0,2.3,4.3,11.1,76.0
24.0,31.7,16.8,1010.7,70.0,1.4,1.7,7.6,159.0
23.6,31.6,17.3,1011.1,65.0,1.6,5.2,11.1,147.0
23.8,33.0,14.9,1010.4,64.0,1.9,3.9,11.1,111.0
22.6,33.0,18.1,1013.1,67.0,2.1,11.3,22.2,59.0
23.0,30.0,14.4,1016.1,55.0,2.7,6.7,14.8,77.20833333333333
22.1,28.9,14.3,1016.1,65.0,1.9,5.4,11.1,87.0
23.2,30.4,14.9,1014.6,60.0,2.4,9.4,18.3,90.0
24.0,30.5,16.8,1009.3,61.0,2.1,18.7,29.4,63.91666666666666
24.6,31.7,17.9,1008.5,68.0,2.3,14.1,27.8,98.0
27.1,34.8,17.7,1009.7,52.0,1.6,6.1,11.1,123.0
26.1,34.8,17.9,1008.8,54.0,2.6,11.9,18.3,64.0
25.2,33.5,19.2,1006.4,55.0,1.9,9.6,22.2,62.0
27.3,34.8,19.3,1007.6,55.0,1.9,10.0,18.3,88.375
27.2,34.8,21.8,1010.3,56.0,1.9,10.9,18.3,77.0
23.6,34.3,17.7,1010.4,51.0,2.6,15.9,22.2,52.0
23.2,29.6,16.7,1008.6,54.0,1.9,13.1,22.2,52.0
23.8,30.9,16.7,1009.0,52.0,1.6,6.5,13.0,128.0
23.9,33.7,16.0,1009.3,60.0,2.4,7.8,20.6,87.0
21.2,33.7,17.0,1009.7,75.0,1.9,5.6,18.3,2.9166666666666665
25.6,33.8,17.9,1008.7,47.0,2.1,4.4,13.0,23.20833333333333
25.7,36.0,17.8,1009.0,50.0,1.8,9.3,14.8,15.166666666666664
25.1,36.0,18.3,1009.5,56.0,2.7,9.1,18.3,21.25
26.3,32.9,18.4,1008.0,40.0,2.7,13.0,22.2,25.75
25.8,33.2,18.7,1006.8,38.0,2.4,15.6,25.9,52.0
26.8,34.9,17.8,1005.8,33.0,1.9,12.8,25.9,89.0
29.5,37.0,18.5,1005.2,30.0,1.9,10.6,22.2,81.0
