SNO,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
1,13.2,18.2,9.2,1021,92,0.8,7.6,11.1,255
2,11.1,18.3,5,1020.2,80,1.1,8,14.8,217.08333333333334
3,12.7,19.8,5.2,1017.9,78,1.3,5.4,14.8,229.16666666666666
4,12.8,19.8,7.2,1016.2,90,0.5,1.1,5.4,392
5,12.4,19.3,7.8,1014.5,91,0.3,0.4,3.5,536
8,11.9,20.7,4.4,1017.9,78,0.8,1.9,7.6,264
9,11.7,20.7,6.5,1017.3,89,0.3,0.9,7.6,404.5
11,12,20.2,7.1,1019.5,85,0.8,6.7,14.8,220
12,12.8,20.6,6.3,1020.8,83,0.8,3.1,9.4,251
13,13.9,21.6,7,1019.6,74,0.8,1.1,9.4,188.5
14,14.9,22.1,8.9,1017.2,78,1,2.8,7.6,164.75
15,12,22.1,9.6,1019.7,95,0.3,0.4,3.5,376
16,12.3,17.7,9,1019.7,92,0.5,1.7,7.6,362
17,12,17.7,8,1017.6,96,0.6,1.1,9.4,235.625
21,13.4,22.3,11.5,1020.6,98,1.4,6.9,13,57.0
22,15.3,17.8,12.7,1019.8,97,1.1,6.9,9.4,114
23,15.6,20,12.4,1020.3,91,0.8,6.7,11.1,148.125
24,13.9,20,11,1019.3,91,0.8,8.1,13,184
25,11.7,18.2,9.4,1019.9,96,0.5,8.3,11.1,202
26,14.3,20.3,9.9,1019.1,88,0.6,8.9,14.8,205
27,16.6,24,10.1,1018.8,75,1.3,10,14.8,214
28,16.6,24,9.5,1016.6,71,1.1,7.4,14.8,202
29,15.1,24,10,1018.5,85,0.5,4.6,11.1,308
30,14.4,20.5,10.2,1019.3,87,0.3,0.9,3.5,323
31,14.8,21.1,10,1019.3,86,0.5,3,11.1,315
32,13.9,21.1,10.8,1019.8,83,0.8,2.6,7.6,322
33,15.3,24.4,6.8,1016.9,79,0.6,1.9,7.6,246
34,18.6,27.8,8.9,1014.4,65,1.3,5.6,57.6,200.91666666666666
35,18.8,27.8,12.6,1010.9,68,1.3,4.8,72,187
36,17.1,25.7,11.8,1011.5,74,1.3,1.7,7.6,187
37,18.7,25.6,10,1010.8,70,1.4,6.1,14.8,167
38,19.7,26.4,15.1,1009.3,72,1.6,15,29.4,99.5
39,13.8,26.4,9.6,1011.3,88,1,8.1,14.8,143
40,12.7,19.5,7,1012,66,1.4,9.3,25.9,100.25
41,12.5,20,4.6,1012.4,64,1.6,3.7,18.3,126
42,13.4,21.6,5.6,1013.6,67,1.4,3.7,11.1,163
43,13.3,21.6,6.6,1013.5,69,1.4,9.3,24.1,152
44,15.3,22.6,5.6,1013.6,67,1.6,4.8,11.1,165
45,13.1,22.6,11,1011.8,97,1.1,5.4,11.1,116
46,12.6,17.7,9.2,1012.6,91,0.6,3.9,7.6,143
47,14.2,19.6,7.2,1016.2,79,1.3,9.4,18.3,194
48,15.1,21.5,9.6,1017.7,71,1.3,12.8,33.5,130
49,15.3,23.2,9.5,1017.4,64,1.4,8.9,20.6,152
50,15.1,23.3,7.1,1016.7,77,0.8,1.9,7.6,231
51,16.1,24.5,8.2,1014.8,80,0.6,1.9,9.4,218.66666666666666
52,17.2,24.6,9,1014.2,75,1.4,8.9,14.8,211
53,16.5,24.6,12.5,1017.5,87,0.8,6.3,11.1,172
54,16.6,22.3,12,1019.4,83,0.6,7.8,14.8,184
55,16.3,22.8,10,1018.7,71,1.8,5.2,14.8,95.41666666666667
56,17.9,25.2,10.3,1017.4,70,1.1,0.9,7.6,52.208333333333336
57,18.9,26.2,12.5,1014.4,72,1.3,2.4,9.4,187.5
58,18.6,25.3,13,1013.3,80,1.1,7.2,22.2,130
59,15.7,25.3,12,1013.1,90,1.3,5.7,14.8,68
60,16.3,21.3,12,1015.1,90,1.1,4.3,13,123
61,16.1,21.8,10,1017.1,82,1.3,5.7,11.1,120
62,17.8,25.7,10.5,1016.3,67,2.1,3.7,11.1,153
63,18.8,26.2,12,1016.5,69,1.4,3.7,11.1,119
64,19.5,26.9,13.8,1015.9,66,1.8,4.1,9.4,110
65,18.8,25.7,13.6,1016.1,64,2.1,4.4,11.1,94
66,18.4,25.9,11,1017,65,2.3,6.7,14.8,130
67,19.8,27.1,12.8,1017.2,66,2.6,9.8,24.1,110
68,22.3,29,14,1014.6,61,2.3,5,13,138
69,20,23.5,17.6,1013.9,72,1.9,11.1,22.2,39
70,20.6,26.8,15.2,1013.7,74,2.3,15.6,25.9,44
71,20,27.1,13.5,1016.4,74,2.7,6.5,11.1,52.375
72,18.9,27.1,12.8,1016.1,65,2.6,9.8,18.3,75
73,19.7,27.6,12,1015.2,66,1.9,5.7,13,146
74,21.4,29.7,12.6,1016.4,65,1.4,2.8,9.4,116.625
75,23.1,31.6,15.5,1015.4,61,1.9,6.3,16.5,163
76,26.4,34.4,16,1011.2,57,1.9,6.9,11.1,162
77,24.5,34.4,19.6,1013,62,2.3,9.1,16.5,63
78,21.7,28.4,16.2,1013.1,61,2.3,10.2,22.2,80
79,21.5,29.2,15,1010.8,59,2.6,7.4,18.3,100
80,22.4,32.5,14.5,1007.2,68,2.1,5.4,11.1,109
81,24.8,32.4,17.2,1007,64,1.8,3,7.6,103
82,23.2,27.6,17.6,1010.7,65,1,10.4,18.3,208
83,22.7,29.2,19,1011.6,76,1.9,9.8,22.2,74
84,24.6,32.7,16.5,1010.6,64,1.8,2.8,11.1,110
85,25.2,32.7,19.1,1010.7,64,1.9,2.8,11.1,108
86,23.4,29.1,19.6,1011.7,69,1.9,4.8,9.4,103
87,24.6,33.1,18.6,1011.2,71,1.4,4.4,11.1,111.5
88,25.8,31.7,19,1011.3,61,1.8,8.3,16.5,98
89,24.3,30.7,17.5,1010,52,1.8,13.9,31.7,60
90,24.2,30.8,17,1008.2,48,1.9,13.1,22.2,74
91,24.9,33.2,16.8,1006.2,49,2.6,9.6,25.9,101
92,26.8,35.2,17.7,1005.7,50,1.9,7.2,14.8,106
93,25.1,35.2,18,1010.4,53,2.1,10.4,25.9,89
94,25.7,32.2,17.8,1010.2,51,1.9,10.6,20.6,71
95,27.4,35.1,19.6,1008.9,50,2.6,9.3,18.3,76
96,30.1,38,20,1007.4,49,2.6,6.7,18.3,113
97,27.2,38,21,1009.7,55,1.9,13,18.3,48
98,25.8,32.2,19.5,1010.3,49,2.6,12.6,18.3,47
99,25.7,32.8,17.5,1010.3,41,2.6,12.8,25.9,67
100,26.3,33.5,17.9,1010.8,36,2.6,12.4,29.4,65
101,28,35.6,17,1008.8,34,2.9,10,25.9,77
102,29.1,37.2,18.9,1006.9,46,1.9,5.2,11.1,114
103,27,37.2,22.6,1009.8,49,1.9,15.6,27.8,56
104,27.7,34.5,21.5,1010.6,55,1.9,5.2,13,79
105,29.1,36.5,20.5,1009.2,53,1.8,2.6,11.1,123
106,26.9,34.2,19.8,1008.1,59,1.8,4.4,7.6,97
107,26.5,34.2,20.2,1006.9,57,1.9,9.3,22.2,77
108,24.9,31.6,18.5,1011.2,68,2.3,11.1,18.3,48
109,25.6,32.3,20,1011.4,64,1.9,5,14.8,80
110,26.8,33.6,19.2,1010.5,53,1.6,4.6,11.1,137
111,28.1,35.8,18.6,1010,40,1.9,8.7,16.5,87
112,29.5,36,20.4,1011.9,37,2.7,12.4,27.8,61
113,29,36,21.6,1008.9,44,2.3,6.1,16.5,82
114,29.4,37.2,21.2,1006,42,2.6,8,22.2,139
115,30.5,38.8,20.6,1006,41,2.4,8.1,22.2,121
116,31.5,38.8,22.1,1006.2,39,2.4,8.1,16.5,97
117,30.6,38.7,21.5,1007,36,1.9,8.3,18.3,92.08333333333333
118,31.4,39.5,21,1005.6,34,1.9,10.2,27.8,105
119,32.2,41,22.6,1003.9,34,2.6,8.3,25.9,119
120,33.4,42.1,22.8,1003.6,32,2.6,5.2,16.5,121
121,34.8,42.8,24.2,1001.7,30,2.3,9.6,18.3,130
122,34.5,41.7,26.2,1001.8,33,1.9,6.5,11.1,90
