SNO,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
1,16.9,25.1,6.6,1021.3,65,1.1,2,7.6,307
2,15.5,24.1,7.7,1021,71,1.1,3.5,11.1,239
3,14.9,22.8,8,1018.4,73,1.1,5.9,13,342
5,18.6,26.5,11,1017.1,75,1,1.9,5.4,353
6,18.7,26.5,11.6,1016.6,78,1,3.5,11.1,367
7,18.3,24.7,11.5,1018.1,85,0.5,1.1,7.6,449.1666666666667
8,16.5,24.7,12,1017.4,82,0.6,8,13,392
9,16.6,22.2,10.2,1015.4,65,1.8,10,20.6,201
10,17.6,24.4,8.7,1017.5,68,2.1,4.8,13,172
11,17.4,25.5,8.5,1017.5,67,1.6,2.6,9.4,208
12,18,25.5,8.5,1014.8,69,1.6,5.9,14.8,192
13,18.2,25.1,12,1014.4,77,0.6,5,11.1,318
14,15.6,23.2,10.9,1015.6,82,0.6,4.3,9.4,246
15,13,19,9.6,1016.9,85,0.8,10.7,16.5,174
16,13.6,17,10.4,1014.8,82,1.1,11.3,24.1,149
17,14.1,19,9.2,1016.1,78,1,2,5.4,191
18,13.3,19.2,6,1014.8,81,0.6,1.5,7.6,272
19,12.3,19,8.9,1015.8,91,0.5,4.6,9.4,310
20,11.9,15.7,7.5,1018.9,86,0.8,6.1,11.1,284
21,12,17,6.7,1019.8,75,1.3,7.6,13,205
22,11.8,17.3,4.2,1019.8,84,0.6,3.5,7.6,335
23,14.4,22,4.6,1020,76,1,3.1,7.6,280
24,11.1,22.2,7.5,1019.6,89,0.5,6.5,11.1,341
25,11.7,18,6.4,1017.3,76,0.8,4.4,13,246
26,14.6,21,6.8,1015.6,81,0.6,2.4,7.6,349
27,17.7,24,9,1014.5,69,1.4,4.4,9.4,276
28,16.8,24.2,9,1015.7,68,1.1,5,13,287
29,19.6,29,11.5,1017.8,71,1,2.6,7.6,328.625
30,20.1,27,13,1014.5,79,0.8,1.1,5.4,350
31,17.4,27.2,12.2,1016.4,79,1.1,7.8,18.3,234
32,15.9,22.4,8.4,1017.6,66,2.4,7.2,16.5,120
33,15.2,22.6,6.6,1018.2,56,1.9,8.9,22.2,129
34,12.7,19.5,8,1017.6,69,1.3,8.3,18.3,156
35,16.4,23,7.7,1017.4,54,1.9,7.2,14.8,144
36,12.7,23.4,6.8,1016.3,72,1,2.2,7.6,223
37,15.2,24.4,7,1013.3,73,1.1,3.7,11.1,262
38,15.6,24.6,10.7,1015.7,81,1.3,2.8,9.4,181
39,17.1,23.2,9,1017.1,69,1.8,5.9,11.1,135
40,17.6,24,10.1,1014.8,67,1.4,5.9,14.8,201
41,18.1,26,8.6,1011.9,64,1.4,2,7.6,210
42,19.6,26.8,10.2,1011.5,55,2.3,6.1,14.8,125
43,19.2,26.8,10,1012.6,59,2.1,0.7,5.4,110
44,17.2,26,11.5,1014.7,65,2.3,5.7,14.8,86
45,17.7,24.4,9.7,1017,64,2.1,8,18.3,101.29166666666667
46,17.4,24.4,10.1,1018.9,61,2.3,6.1,11.1,99
47,18.2,24,9.2,1020,56,2.4,5.4,14.8,112
48,18.7,25,10.3,1018.7,62,2.3,3.7,7.6,115
49,19.4,25.6,15,1016.9,79,1.3,5.2,13,175
50,23.1,30,15.6,1014.9,71,1.4,4.1,9.4,202
51,23.7,29.8,18.7,1014,75,1.4,11.1,18.3,143
52,20.9,27.8,15.8,1014.4,62,2.6,17.2,27.8,64
53,21,28,14,1013.9,55,2.6,15.2,33.5,73
54,21.2,29,13.4,1012.2,52,3.5,9.8,18.3,77
55,21.6,30,11,1012.6,57,2.1,2.4,7.6,146
56,22.6,30.3,11.5,1015.4,57,2.4,5.4,11.1,117
57,22.7,30.4,12.8,1017.7,56,2.6,2.4,7.6,124
58,22.7,30.6,13,1018.4,58,2.4,3.3,7.6,143
59,23.1,30.1,13.5,1018.5,63,1.9,3.7,11.1,185
60,23.8,31,14.5,1017.8,64,1.9,3.7,9.4,156
