Date,Time,PM2.5
01-01-2016,1:00 AM,322
01-01-2016,2:00 AM,395
01-01-2016,3:00 AM,433
01-01-2016,4:00 AM,413
01-01-2016,5:00 AM,401
01-01-2016,6:00 AM,383
01-01-2016,7:00 AM,386
01-01-2016,8:00 AM,372
01-01-2016,9:00 AM,354
01-01-2016,10:00 AM,297
01-01-2016,11:00 AM,196
01-01-2016,12:00 PM,138
01-01-2016,1:00 PM,238
01-01-2016,2:00 PM,356
01-01-2016,3:00 PM,258
01-01-2016,4:00 PM,142
01-01-2016,5:00 PM,135
01-01-2016,6:00 PM,207
01-01-2016,7:00 PM,298
01-01-2016,8:00 PM,385
01-01-2016,9:00 PM,343
01-01-2016,10:00 PM,321
01-01-2016,11:00 PM,310
01/01/2016 24:00 AM,,300
02-01-2016,1:00 AM,290
02-01-2016,2:00 AM,277
02-01-2016,3:00 AM,236
02-01-2016,4:00 AM,213
02-01-2016,5:00 AM,201
02-01-2016,6:00 AM,212
02-01-2016,7:00 AM,215
02-01-2016,8:00 AM,237
02-01-2016,9:00 AM,252
02-01-2016,10:00 AM,308
02-01-2016,11:00 AM,238
02-01-2016,12:00 PM,217
02-01-2016,1:00 PM,181
02-01-2016,2:00 PM,161
02-01-2016,3:00 PM,172
02-01-2016,4:00 PM,152
02-01-2016,5:00 PM,158
02-01-2016,6:00 PM,156
02-01-2016,7:00 PM,194
02-01-2016,8:00 PM,273
02-01-2016,9:00 PM,344
02-01-2016,10:00 PM,338
02-01-2016,11:00 PM,343
02/01/2016 24:00 AM,,385
03-01-2016,1:00 AM,382
03-01-2016,2:00 AM,406
03-01-2016,3:00 AM,494
03-01-2016,4:00 AM,536
03-01-2016,5:00 AM,472
03-01-2016,6:00 AM,536
03-01-2016,7:00 AM,484
03-01-2016,8:00 AM,442
03-01-2016,9:00 AM,513
03-01-2016,10:00 AM,549
03-01-2016,11:00 AM,322
03-01-2016,12:00 PM,279
03-01-2016,1:00 PM,202
03-01-2016,2:00 PM,163
03-01-2016,3:00 PM,184
03-01-2016,4:00 PM,151
03-01-2016,5:00 PM,156
03-01-2016,6:00 PM,157
03-01-2016,7:00 PM,171
03-01-2016,8:00 PM,297
03-01-2016,9:00 PM,288
03-01-2016,10:00 PM,327
03-01-2016,11:00 PM,344
03/01/2016 24:00 AM,,374
04-01-2016,1:00 AM,384
04-01-2016,2:00 AM,387
04-01-2016,3:00 AM,404
04-01-2016,4:00 AM,390
04-01-2016,5:00 AM,351
04-01-2016,6:00 AM,361
04-01-2016,7:00 AM,362
04-01-2016,8:00 AM,377
04-01-2016,9:00 AM,439
04-01-2016,10:00 AM,542
04-01-2016,11:00 AM,463
04-01-2016,12:00 PM,352
04-01-2016,1:00 PM,409
04-01-2016,2:00 PM,384
04-01-2016,3:00 PM,367
04-01-2016,4:00 PM,370
04-01-2016,5:00 PM,358
04-01-2016,6:00 PM,372
04-01-2016,7:00 PM,421
04-01-2016,8:00 PM,453
04-01-2016,9:00 PM,462
04-01-2016,10:00 PM,488
04-01-2016,11:00 PM,492
04/01/2016 24:00 AM,,480
05-01-2016,1:00 AM,566
05-01-2016,2:00 AM,435
05-01-2016,3:00 AM,415
05-01-2016,4:00 AM,416
05-01-2016,5:00 AM,408
05-01-2016,6:00 AM,390
05-01-2016,7:00 AM,388
05-01-2016,8:00 AM,424
05-01-2016,9:00 AM,437
05-01-2016,10:00 AM,457
05-01-2016,11:00 AM,435
05-01-2016,12:00 PM,322
05-01-2016,1:00 PM,221
05-01-2016,2:00 PM,143
05-01-2016,3:00 PM,199
05-01-2016,4:00 PM,209
05-01-2016,5:00 PM,258
05-01-2016,6:00 PM,278
05-01-2016,7:00 PM,299
05-01-2016,8:00 PM,333
05-01-2016,9:00 PM,373
05-01-2016,10:00 PM,361
05-01-2016,11:00 PM,343
05/01/2016 24:00 AM,,367
06-01-2016,1:00 AM,407
06-01-2016,2:00 AM,430
06-01-2016,3:00 AM,491
06-01-2016,4:00 AM,509
06-01-2016,5:00 AM,529
06-01-2016,6:00 AM,534
06-01-2016,7:00 AM,520
06-01-2016,8:00 AM,507
06-01-2016,9:00 AM,511
06-01-2016,10:00 AM,593
06-01-2016,11:00 AM,363
06-01-2016,12:00 PM,279
06-01-2016,1:00 PM,228
06-01-2016,2:00 PM,194
06-01-2016,3:00 PM,188
06-01-2016,4:00 PM,166
06-01-2016,5:00 PM,196
06-01-2016,6:00 PM,211
06-01-2016,7:00 PM,259
06-01-2016,8:00 PM,286
06-01-2016,9:00 PM,327
06-01-2016,10:00 PM,360
06-01-2016,11:00 PM,363
06/01/2016 24:00 AM,,366
07-01-2016,1:00 AM,364
07-01-2016,2:00 AM,369
07-01-2016,3:00 AM,---
07-01-2016,4:00 AM,366
07-01-2016,5:00 AM,406
07-01-2016,6:00 AM,431
07-01-2016,7:00 AM,475
07-01-2016,8:00 AM,524
07-01-2016,9:00 AM,552
07-01-2016,10:00 AM,608
07-01-2016,11:00 AM,584
07-01-2016,12:00 PM,437
07-01-2016,1:00 PM,349
07-01-2016,2:00 PM,374
07-01-2016,3:00 PM,448
07-01-2016,4:00 PM,558
07-01-2016,5:00 PM,409
07-01-2016,6:00 PM,432
07-01-2016,7:00 PM,434
07-01-2016,8:00 PM,450
07-01-2016,9:00 PM,501
07-01-2016,10:00 PM,566
07-01-2016,11:00 PM,577
07/01/2016 24:00 AM,,566
08-01-2016,1:00 AM,589
08-01-2016,2:00 AM,613
08-01-2016,3:00 AM,594
08-01-2016,4:00 AM,570
08-01-2016,5:00 AM,568
08-01-2016,6:00 AM,526
08-01-2016,7:00 AM,461
08-01-2016,8:00 AM,355
08-01-2016,9:00 AM,380
08-01-2016,10:00 AM,342
08-01-2016,11:00 AM,340
08-01-2016,12:00 PM,410
08-01-2016,1:00 PM,505
08-01-2016,2:00 PM,332
08-01-2016,3:00 PM,362
08-01-2016,4:00 PM,197
08-01-2016,5:00 PM,232
08-01-2016,6:00 PM,215
08-01-2016,7:00 PM,203
08-01-2016,8:00 PM,234
08-01-2016,9:00 PM,385
08-01-2016,10:00 PM,367
